param n := 48;
param COST := 
1 2 4727
1 3 1204
1 4 6363
1 5 3657
1 6 3130
1 7 2414
1 8 562
1 9 462
1 10 5654
1 11 1712
1 12 1604
1 13 2367
1 14 2200
1 15 1289
1 16 1004
1 17 3833
1 18 2258
1 19 3419
1 20 2267
1 21 2956
1 22 720
1 23 1699
1 24 5278
1 25 2578
1 26 6075
1 27 3465
1 28 2654
1 29 3625
1 30 3115
1 31 1573
1 32 3950
1 33 1747
1 34 2141
1 35 6754
1 36 2382
1 37 3306
1 38 1029
1 39 3529
1 40 824
1 41 2187
1 42 4819
1 43 3489
1 44 1947
1 45 6834
1 46 1542
1 47 2379
1 48 3743
2 1 4727
2 3 3587
2 4 2012
2 5 1841
2 6 6977
2 7 6500
2 8 5187
2 9 5028
2 10 2327
2 11 4148
2 12 4723
2 13 3635
2 14 3124
2 15 4906
2 16 3930
2 17 7463
2 18 6337
2 19 7242
2 20 5105
2 21 4043
2 22 4021
2 23 3676
2 24 2863
2 25 3106
2 26 1849
2 27 7173
2 28 6629
2 29 1203
2 30 6813
2 31 6001
2 32 3447
2 33 5252
2 34 2656
2 35 3123
2 36 6273
2 37 7183
2 38 5622
2 39 3084
2 40 4563
2 41 2755
2 42 1591
2 43 7027
2 44 6186
2 45 3471
2 46 5461
2 47 4389
2 48 2087
3 1 1204
3 2 3587
3 4 5162
3 5 2458
3 6 3677
3 7 3070
3 8 1742
3 9 1444
3 10 4462
3 11 1184
3 12 1520
3 13 1497
3 14 1103
3 15 1501
3 16 950
3 17 4297
3 18 2902
3 19 3966
3 20 2169
3 21 2209
3 22 652
3 23 827
3 24 4136
3 25 1517
3 26 4873
3 27 3953
3 28 3253
3 29 2446
3 30 3580
3 31 2441
3 32 2960
3 33 1965
3 34 949
3 35 5564
3 36 2915
3 37 3878
3 38 2035
3 39 2482
3 40 1027
3 41 1395
3 42 3617
3 43 3891
3 44 2685
3 45 5660
3 46 2023
3 47 1866
3 48 2560
4 1 6363
4 2 2012
4 3 5162
4 5 2799
4 6 8064
4 7 7727
4 8 6877
4 9 6580
4 10 1402
4 11 5366
4 12 5946
4 13 4679
4 14 4377
4 15 6225
4 16 5709
4 17 8417
4 18 7577
4 19 8295
4 20 6135
4 21 4801
4 22 5706
4 23 4982
4 24 2322
4 25 4177
4 26 320
4 27 8186
4 28 7800
4 29 2777
4 30 7858
4 31 7408
4 32 3763
4 33 6461
4 34 4222
4 35 1426
4 36 7451
4 37 8263
4 38 7130
4 39 3668
4 40 6011
4 41 4637
4 42 1681
4 43 7987
4 44 7502
4 45 1876
4 46 6758
4 47 5360
4 48 2844
5 1 3657
5 2 1841
5 3 2458
5 4 2799
5 6 5329
5 7 4946
5 8 4200
5 9 3824
5 10 2011
5 11 2573
5 12 3156
5 13 1923
5 14 1579
5 15 3426
5 16 3178
5 17 5748
5 18 4793
5 19 5577
5 20 3408
5 21 2222
5 22 3066
5 23 2184
5 24 1859
5 25 1400
5 26 2490
5 27 5485
5 28 5034
5 29 893
5 30 5140
5 31 4611
5 32 1669
5 33 3677
5 34 1590
5 35 3112
5 36 4681
5 37 5533
5 38 4352
5 39 1251
5 40 3227
5 41 2426
5 42 1168
5 43 5312
5 44 4706
5 45 3241
5 46 3962
5 47 2651
5 48 304
6 1 3130
6 2 6977
6 3 3677
6 4 8064
6 5 5329
6 7 743
6 8 3208
6 9 2669
6 10 6928
6 11 2830
6 12 2266
6 13 3407
6 14 3853
6 15 2177
6 16 4075
6 17 726
6 18 880
6 19 293
6 20 1929
6 21 3309
6 22 3672
6 23 3314
6 24 6198
6 25 3932
6 26 7745
6 27 365
6 28 482
6 29 5774
6 30 260
6 31 1658
6 32 4513
6 33 1746
6 34 4430
6 35 7909
6 36 769
6 37 206
6 38 2225
6 39 4434
6 40 2680
6 41 5052
6 42 6383
6 43 550
6 44 1223
6 45 7804
6 46 1670
6 47 2704
6 48 5230
7 1 2414
7 2 6500
7 3 3070
7 4 7727
7 5 4946
7 6 743
7 8 2467
7 9 1951
7 10 6673
7 11 2380
7 12 1794
7 13 3050
7 14 3405
7 15 1603
7 16 3381
7 17 1468
7 18 168
7 19 1019
7 20 1680
7 21 3109
7 22 2993
7 23 2826
7 24 6009
7 25 3551
7 26 7411
7 27 1103
7 28 267
7 29 5300
7 30 820
7 31 915
7 32 4347
7 33 1269
7 34 3890
7 35 7698
7 36 331
7 37 899
7 38 1483
7 39 4184
7 40 2048
7 41 4414
7 42 6051
7 43 1219
7 44 481
7 45 7634
7 46 1053
7 47 2432
7 48 4884
8 1 562
8 2 5187
8 3 1742
8 4 6877
8 5 4200
8 6 3208
8 7 2467
8 9 718
8 10 6202
8 11 2240
8 12 2050
8 13 2920
8 14 2762
8 15 1687
8 16 1304
8 17 3931
8 18 2330
8 19 3486
8 20 2669
8 21 3486
8 22 1175
8 23 2259
8 24 5839
8 25 3140
8 26 6595
8 27 3563
8 28 2727
8 29 4120
8 30 3239
8 31 1558
8 32 4507
8 33 2082
8 34 2658
8 35 7304
8 36 2511
8 37 3364
8 38 984
8 39 4091
8 40 1319
8 41 2544
8 42 5357
8 43 3631
8 44 1986
8 45 7390
8 46 1785
8 47 2879
8 48 4295
9 1 462
9 2 5028
9 3 1444
9 4 6580
9 5 3824
9 6 2669
9 7 1951
9 8 718
9 10 5788
9 11 1601
9 12 1343
9 13 2330
9 14 2291
9 15 970
9 16 1451
9 17 3375
9 18 1796
9 19 2958
9 20 1951
9 21 2835
9 22 1112
9 23 1725
9 24 5345
9 25 2628
9 26 6285
9 27 3007
9 28 2192
9 29 3889
9 30 2660
9 31 1121
9 32 3919
9 33 1372
9 34 2391
9 35 6883
9 36 1926
9 37 2844
9 38 611
9 39 3542
9 40 675
9 41 2589
9 42 4992
9 43 3038
9 44 1485
9 45 6933
9 46 1112
9 47 2195
9 48 3875
10 1 5654
10 2 2327
10 3 4462
10 4 1402
10 5 2011
10 6 6928
10 7 6673
10 8 6202
10 9 5788
10 11 4391
10 12 4946
10 13 3648
10 14 3500
10 15 5273
10 16 5182
10 17 7216
10 18 6534
10 19 7140
10 20 5021
10 21 3620
10 22 5077
10 23 4089
10 24 921
10 25 3207
10 26 1131
10 27 7013
10 28 6713
10 29 2436
10 30 6706
10 31 6477
10 32 2475
10 33 5432
10 34 3598
10 35 1102
10 36 6375
10 37 7121
10 38 6283
10 39 2497
10 40 5160
10 41 4318
10 42 936
10 43 6795
10 44 6507
10 45 1268
10 46 5773
10 47 4249
10 48 1914
11 1 1712
11 2 4148
11 3 1184
11 4 5366
11 5 2573
11 6 2830
11 7 2380
11 8 2240
11 9 1601
11 10 4391
11 12 585
11 13 765
11 14 1029
11 15 882
11 16 2040
11 17 3352
11 18 2224
11 19 3100
11 20 1048
11 21 1246
11 22 1624
11 23 502
11 24 3840
11 25 1195
11 26 5053
11 27 3042
11 28 2488
11 29 2945
11 30 2676
11 31 2086
11 32 2330
11 33 1113
11 34 1650
11 35 5459
11 36 2132
11 37 3036
11 38 1958
11 39 1996
11 40 931
11 41 2513
11 42 3700
11 43 2923
11 44 2137
11 45 5458
11 46 1394
11 47 711
11 48 2534
12 1 1604
12 2 4723
12 3 1520
12 4 5946
12 5 3156
12 6 2266
12 7 1794
12 8 2050
12 9 1343
12 10 4946
12 11 585
12 13 1298
12 14 1612
12 15 405
12 16 2207
12 17 2823
12 18 1638
12 19 2542
12 20 694
12 21 1586
12 22 1767
12 23 1050
12 24 4356
12 25 1770
12 26 5632
12 27 2498
12 28 1907
12 29 3520
12 30 2127
12 31 1558
12 32 2778
12 33 530
12 34 2171
12 35 6002
12 36 1551
12 37 2472
12 38 1538
12 39 2505
12 40 790
12 41 2912
12 42 4277
12 43 2402
12 44 1563
12 45 5982
12 46 827
12 47 891
12 48 3109
