param n := 14;
param COST := 
1 2 2
1 3 5
1 4 7
1 5 9
1 6 6
1 7 4
1 8 1
1 9 1
1 10 3
1 11 1
1 12 5
1 13 3
1 14 4
2 1 2
2 3 4
2 4 6
2 5 9
2 6 6
2 7 5
2 8 2
2 9 3
2 10 4
2 11 3
2 12 5
2 13 4
2 14 4
3 1 5
3 2 4
3 4 2
3 5 7
3 6 4
3 7 4
3 8 5
3 9 6
3 10 8
3 11 6
3 12 3
3 13 5
3 14 2
4 1 7
4 2 6
4 3 2
4 5 5
4 6 3
4 7 4
4 8 6
4 9 7
4 10 10
4 11 7
4 12 2
4 13 5
4 14 3
5 1 9
5 2 9
5 3 7
5 4 5
5 6 3
5 7 5
5 8 8
5 9 9
5 10 11
5 11 9
5 12 4
5 13 6
5 14 6
6 1 6
6 2 6
6 3 4
6 4 3
6 5 3
6 7 2
6 8 5
6 9 6
6 10 8
6 11 6
6 12 1
6 13 3
6 14 2
7 1 4
7 2 5
7 3 4
7 4 4
7 5 5
7 6 2
7 8 3
7 9 4
7 10 7
7 11 4
7 12 2
7 13 1
7 14 2
8 1 1
8 2 2
8 3 5
8 4 6
8 5 8
8 6 5
8 7 3
8 9 1
8 10 4
8 11 1
8 12 4
8 13 2
8 14 3
9 1 1
9 2 3
9 3 6
9 4 7
9 5 9
9 6 6
9 7 4
9 8 1
9 10 2
9 11 0
9 12 6
9 13 3
9 14 5
10 1 3
10 2 4
10 3 8
10 4 10
10 5 11
10 6 8
10 7 7
10 8 4
10 9 2
10 11 3
10 12 8
10 13 5
10 14 7
11 1 1
11 2 3
11 3 6
11 4 7
11 5 9
11 6 6
11 7 4
11 8 1
11 9 0
11 10 3
11 12 5
11 13 3
11 14 5
12 1 5
12 2 5
12 3 3
12 4 2
12 5 4
12 6 1
12 7 2
12 8 4
12 9 6
12 10 8
12 11 5
12 13 3
12 14 2
13 1 3
13 2 4
13 3 5
13 4 5
13 5 6
13 6 3
13 7 1
13 8 2
13 9 3
13 10 5
13 11 3
13 12 3
13 14 3
14 1 4
14 2 4
14 3 2
14 4 3
14 5 6
14 6 2
14 7 2
14 8 3
14 9 5
14 10 7
14 11 5
14 12 2
14 13 3
;
