param n := 42;
param COST := 
1 2 5
1 3 39
1 4 34
1 5 41
1 6 54
1 7 51
1 8 54
1 9 54
1 10 71
1 11 97
1 12 98
1 13 133
1 14 165
1 15 167
1 16 149
1 17 138
1 18 167
1 19 172
1 20 152
1 21 126
1 22 116
1 23 114
1 24 84
1 25 73
1 26 81
1 27 86
1 28 99
1 29 104
1 30 83
1 31 75
1 32 84
1 33 92
1 34 71
1 35 64
1 36 71
1 37 54
1 38 43
1 39 34
1 40 27
1 41 4
1 42 4
2 1 5
2 3 36
2 4 32
2 5 41
2 6 53
2 7 50
2 8 51
2 9 51
2 10 67
2 11 93
2 12 94
2 13 129
2 14 161
2 15 163
2 16 145
2 17 135
2 18 163
2 19 169
2 20 149
2 21 123
2 22 113
2 23 110
2 24 81
2 25 70
2 26 78
2 27 84
2 28 97
2 29 103
2 30 82
2 31 74
2 32 84
2 33 92
2 34 71
2 35 64
2 36 73
2 37 55
2 38 45
2 39 35
2 40 28
2 41 8
2 42 8
3 1 39
3 2 36
3 4 8
3 5 20
3 6 21
3 7 15
3 8 15
3 9 16
3 10 35
3 11 60
3 12 64
3 13 98
3 14 131
3 15 132
3 16 112
3 17 100
3 18 129
3 19 134
3 20 113
3 21 87
3 22 77
3 23 75
3 24 46
3 25 35
3 26 42
3 27 48
3 28 61
3 29 68
3 30 48
3 31 42
3 32 53
3 33 63
3 34 44
3 35 41
3 36 57
3 37 40
3 38 35
3 39 31
3 40 28
3 41 40
3 42 43
4 1 34
4 2 32
4 3 8
4 5 15
4 6 22
4 7 18
4 8 21
4 9 23
4 10 43
4 11 68
4 12 71
4 13 106
4 14 139
4 15 140
4 16 120
4 17 107
4 18 136
4 19 140
4 20 119
4 21 93
4 22 84
4 23 82
4 24 52
4 25 41
4 26 47
4 27 53
4 28 65
4 29 71
4 30 50
4 31 43
4 32 54
4 33 63
4 34 43
4 35 38
4 36 52
4 37 35
4 38 29
4 39 23
4 40 20
4 41 34
4 42 38
5 1 41
5 2 41
5 3 20
5 4 15
5 6 16
5 7 18
5 8 26
5 9 31
5 10 51
5 11 73
5 12 79
5 13 112
5 14 145
5 15 145
5 16 124
5 17 110
5 18 138
5 19 140
5 20 117
5 21 91
5 22 85
5 23 85
5 24 55
5 25 45
5 26 47
5 27 53
5 28 61
5 29 64
5 30 43
5 31 35
5 32 43
5 33 51
5 34 30
5 35 24
5 36 37
5 37 20
5 38 16
5 39 15
5 40 17
5 41 40
5 42 45
6 1 54
6 2 53
6 3 21
6 4 22
6 5 16
6 7 7
6 8 17
6 9 23
6 10 40
6 11 59
6 12 66
6 13 98
6 14 131
6 15 131
6 16 109
6 17 94
6 18 123
6 19 123
6 20 101
6 21 75
6 22 69
6 23 69
6 24 40
6 25 30
6 26 31
6 27 37
6 28 46
6 29 50
6 30 28
6 31 21
6 32 32
6 33 42
6 34 23
6 35 23
6 36 41
6 37 27
6 38 30
6 39 31
6 40 33
6 41 54
6 42 59
7 1 51
7 2 50
7 3 15
7 4 18
7 5 18
7 6 7
7 8 10
7 9 16
7 10 35
7 11 55
7 12 61
7 13 94
7 14 128
7 15 127
7 16 106
7 17 92
7 18 121
7 19 123
7 20 102
7 21 75
7 22 68
7 23 67
7 24 37
7 25 27
7 26 30
7 27 36
7 28 47
7 29 53
7 30 33
7 31 26
7 32 38
7 33 49
7 34 30
7 35 30
7 36 47
7 37 33
7 38 33
7 39 33
7 40 33
7 41 52
7 42 56
8 1 54
8 2 51
8 3 15
8 4 21
8 5 26
8 6 17
8 7 10
8 9 6
8 10 25
8 11 47
8 12 52
8 13 86
8 14 119
8 15 120
8 16 99
8 17 86
8 18 115
8 19 119
8 20 98
8 21 72
8 22 63
8 23 61
8 24 31
8 25 20
8 26 27
8 27 33
8 28 47
8 29 55
8 30 36
8 31 32
8 32 45
8 33 55
8 34 38
8 35 39
8 36 57
8 37 43
8 38 42
8 39 40
8 40 40
8 41 55
8 42 58
9 1 54
9 2 51
9 3 16
9 4 23
9 5 31
9 6 23
9 7 16
9 8 6
9 10 20
9 11 44
9 12 48
9 13 82
9 14 116
9 15 116
9 16 96
9 17 84
9 18 113
9 19 118
9 20 99
9 21 73
9 22 62
9 23 60
9 24 30
9 25 19
9 26 29
9 27 34
9 28 50
9 29 59
9 30 41
9 31 37
9 32 50
9 33 61
