param n := 38;
param COST := 
1 2 291
1 3 794
1 4 629
1 5 850
1 6 806
1 7 882
1 8 973
1 9 991
1 10 437
1 11 1238
1 12 1187
1 13 903
1 14 508
1 15 903
1 16 1179
1 17 1197
1 18 1201
1 19 1205
1 20 902
1 21 760
1 22 1032
1 23 943
1 24 1106
1 25 999
1 26 1011
1 27 1527
1 28 1339
1 29 1059
1 30 1206
1 31 1794
1 32 1338
1 33 1714
1 34 1741
1 35 1498
1 36 1852
1 37 1625
1 38 1858
2 1 291
2 3 513
2 4 342
2 5 564
2 6 515
2 7 591
2 8 683
2 9 701
2 10 457
2 11 947
2 12 896
2 13 622
2 14 484
2 15 625
2 16 891
2 17 910
2 18 914
2 19 919
2 20 661
2 21 811
2 22 779
2 23 718
2 24 848
2 25 775
2 26 792
2 27 1253
2 28 1083
2 29 966
2 30 1046
2 31 1534
2 32 1193
2 33 1472
2 34 1496
2 35 1308
2 36 1599
2 37 1413
2 38 1649
3 1 794
3 2 513
3 4 175
3 5 69
3 6 167
3 7 182
3 8 300
3 9 312
3 10 883
3 11 492
3 12 464
3 13 371
3 14 866
3 15 391
3 16 503
3 17 522
3 18 531
3 19 536
3 20 592
3 21 1201
3 22 622
3 23 679
3 24 652
3 25 721
3 26 748
3 27 923
3 28 851
3 29 1154
3 30 1095
3 31 1246
3 32 1251
3 33 1252
3 34 1267
3 35 1252
3 36 1331
3 37 1288
3 38 1514
4 1 629
4 2 342
4 3 175
4 5 223
4 6 200
4 7 266
4 8 376
4 9 393
4 10 714
4 11 621
4 12 578
4 13 375
4 14 703
4 15 389
4 16 592
4 17 612
4 18 619
4 19 623
4 20 535
4 21 1040
4 22 604
4 23 617
4 24 653
4 25 668
4 26 693
4 27 993
4 28 875
4 29 1040
4 30 1021
4 31 1301
4 32 1178
4 33 1279
4 34 1298
4 35 1217
4 36 1379
4 37 1279
4 38 1512
5 1 850
5 2 564
5 3 69
5 4 223
5 6 139
5 7 127
5 8 239
5 9 250
5 10 912
5 11 423
5 12 395
5 13 329
5 14 890
5 15 351
5 16 436
5 17 455
5 18 464
5 19 470
5 20 564
5 21 1220
5 22 580
5 23 651
5 24 604
