param n := 29;
param COST := 
1 2 75
1 3 4110
1 4 3048
1 5 2267
1 6 974
1 7 4190
1 8 3302
1 9 4758
1 10 3044
1 11 3095
1 12 3986
1 13 5093
1 14 6406
1 15 5903
1 16 8436
1 17 6963
1 18 6694
1 19 6576
1 20 8009
1 21 7398
1 22 7266
1 23 7425
1 24 9639
1 25 9229
1 26 8320
1 27 9301
1 28 8102
1 29 7799
2 1 75
2 3 4070
2 4 2999
2 5 2214
2 6 901
2 7 4137
2 8 3239
2 9 4701
2 10 2970
2 11 3021
2 12 3914
2 13 5024
2 14 6337
2 15 5829
2 16 8368
2 17 6890
2 18 6620
2 19 6501
2 20 7938
2 21 7324
2 22 7192
2 23 7351
2 24 9570
2 25 9159
2 26 8248
2 27 9230
2 28 8029
2 29 7724
3 1 4110
3 2 4070
3 4 1172
3 5 1973
3 6 3496
3 7 891
3 8 1815
3 9 1415
3 10 3673
3 11 3777
3 12 2996
3 13 2876
3 14 3904
3 15 5056
3 16 5441
3 17 4990
3 18 5150
3 19 5316
3 20 5595
3 21 5726
3 22 5810
3 23 5857
3 24 6675
3 25 6465
3 26 6060
3 27 6522
3 28 6164
3 29 6163
4 1 3048
4 2 2999
4 3 1172
4 5 817
4 6 2350
4 7 1172
4 8 995
4 9 1797
4 10 2648
4 11 2755
4 12 2315
4 13 2720
4 14 3972
4 15 4547
4 16 5802
4 17 4883
4 18 4886
4 19 4959
4 20 5695
4 21 5536
4 22 5545
4 23 5634
4 24 7044
4 25 6740
4 26 6110
4 27 6804
4 28 6090
4 29 5976
5 1 2267
5 2 2214
5 3 1973
5 4 817
5 6 1533
5 7 1924
5 8 1188
5 9 2497
5 10 2208
5 11 2312
5 12 2324
5 13 3088
5 14 4400
5 15 4557
5 16 6341
5 17 5174
5 18 5071
5 19 5074
5 20 6094
5 21 5754
5 22 5711
5 23 5827
5 24 7572
5 25 7220
5 26 6471
5 27 7288
5 28 6373
5 29 6186
6 1 974
6 2 901
6 3 3496
6 4 2350
6 5 1533
6 7 3417
6 8 2410
6 9 3935
6 10 2114
6 11 2175
6 12 3014
6 13 4141
6 14 5449
6 15 4955
6 16 7490
6 17 5989
6 18 5724
6 19 5615
6 20 7039
6 21 6429
6 22 6302
6 23 6458
6 24 8685
6 25 8267
6 26 7347
6 27 8338
6 28 7130
6 29 6832
7 1 4190
7 2 4137
7 3 891
7 4 1172
7 5 1924
7 6 3417
7 8 1233
7 9 651
7 10 3086
7 11 3184
7 12 2202
7 13 1987
7 14 3064
7 15 4180
7 16 4734
7 17 4116
7 18 4261
7 19 4425
7 20 4775
7 21 4843
7 22 4921
7 23 4971
7 24 5977
7 25 5719
7 26 5227
7 27 5780
7 28 5301
7 29 5281
8 1 3302
8 2 3239
8 3 1815
8 4 995
8 5 1188
8 6 2410
8 7 1233
8 9 1586
8 10 1877
8 11 1979
8 12 1321
8 13 1900
8 14 3213
8 15 3556
8 16 5175
8 17 4005
8 18 3946
8 19 3992
8 20 4906
8 21 4615
8 22 4599
8 23 4700
8 24 6400
8 25 6037
8 26 5287
8 27 6105
8 28 5209
8 29 5051
9 1 4758
9 2 4701
9 3 1415
9 4 1797
9 5 2497
9 6 3935
9 7 651
9 8 1586
9 10 3285
9 11 3374
9 12 2177
9 13 1576
9 14 2491
9 15 3884
9 16 4088
9 17 3600
9 18 3818
9 19 4029
9 20 4180
9 21 4356
9 22 4468
9 23 4497
9 24 5330
9 25 5083
9 26 4645
9 27 5143
9 28 4761
9 29 4787
10 1 3044
10 2 2970
10 3 3673
10 4 2648
10 5 2208
10 6 2114
10 7 3086
10 8 1877
10 9 3285
10 11 107
10 12 1360
10 13 2674
10 14 3822
10 15 2864
10 16 5889
10 17 4089
10 18 3722
10 19 3560
10 20 5217
10 21 4421
10 22 4256
10 23 4428
10 24 7000
10 25 6513
10 26 5455
10 27 6587
10 28 5156
10 29 4801
11 1 3095
11 2 3021
11 3 3777
11 4 2755
11 5 2312
11 6 2175
11 7 3184
11 8 1979
11 9 3374
11 10 107
11 12 1412
11 13 2724
11 14 3851
11 15 2824
11 16 5915
11 17 4087
11 18 3704
11 19 3530
11 20 5221
11 21 4401
11 22 4227
11 23 4402
11 24 7016
11 25 6523
11 26 5450
11 27 6597
11 28 5140
11 29 4776
12 1 3986
12 2 3914
12 3 2996
12 4 2315
12 5 2324
12 6 3014
12 7 2202
12 8 1321
12 9 2177
12 10 1360
12 11 1412
12 13 1314
12 14 2510
12 15 2250
12 16 4583
12 17 2980
12 18 2777
12 19 2753
12 20 4031
12 21 3474
12 22 3402
12 23 3530
12 24 5733
12 25 5282
12 26 4334
12 27 5354
12 28 4142
12 29 3897
13 1 5093
13 2 5024
13 3 2876
13 4 2720
13 5 3088
13 6 4141
13 7 1987
13 8 1900
13 9 1576
13 10 2674
13 11 2724
13 12 1314
13 14 1322
13 15 2330
13 16 3350
13 17 2171
13 18 2274
13 19 2458
13 20 3007
13 21 2866
13 22 2934
13 23 2987
13 24 4547
13 25 4153
13 26 3399
13 27 4222
13 28 3375
13 29 3306
14 1 6406
14 2 6337
14 3 3904
14 4 3972
14 5 4400
14 6 5449
14 7 3064
14 8 3213
14 9 2491
14 10 3822
14 11 3851
14 12 2510
14 13 1322
14 15 2350
14 16 2073
14 17 1203
14 18 1670
14 19 2041
14 20 1725
14 21 1998
14 22 2212
14 23 2172
14 24 3238
14 25 2831
14 26 2164
14 27 2901
14 28 2284
14 29 2397
15 1 5903
15 2 5829
15 3 5056
15 4 4547
15 5 4557
15 6 4955
15 7 4180
15 8 3556
15 9 3884
15 10 2864
15 11 2824
15 12 2250
15 13 2330
15 14 2350
15 16 3950
15 17 1740
15 18 1108
15 19 772
15 20 2880
15 21 1701
15 22 1450
15 23 1650
15 24 4780
15 25 4197
15 26 2931
15 27 4270
15 28 2470
15 29 2010
16 1 8436
16 2 8368
16 3 5441
16 4 5802
16 5 6341
16 6 7490
16 7 4734
16 8 5175
16 9 4088
16 10 5889
16 11 5915
16 12 4583
16 13 3350
16 14 2073
16 15 3950
16 17 2221
16 18 2897
16 19 3324
16 20 1275
16 21 2651
16 22 3018
16 23 2837
16 24 1244
16 25 1088
16 26 1642
16 27 1129
16 28 2252
16 29 2773
17 1 6963
17 2 6890
17 3 4990
17 4 4883
17 5 5174
17 6 5989
17 7 4116
17 8 4005
17 9 3600
17 10 4089
17 11 4087
17 12 2980
17 13 2171
17 14 1203
17 15 1740
17 16 2221
17 18 683
17 19 1116
17 20 1173
17 21 796
17 22 1040
17 23 974
17 24 3063
17 25 2504
17 26 1367
17 27 2578
17 28 1207
17 29 1201
18 1 6694
18 2 6620
18 3 5150
18 4 4886
18 5 5071
18 6 5724
18 7 4261
18 8 3946
18 9 3818
18 10 3722
18 11 3704
18 12 2777
18 13 2274
18 14 1670
18 15 1108
18 16 2897
18 17 683
18 19 433
18 20 1776
18 21 705
18 22 663
18 23 756
18 24 3674
18 25 3089
18 26 1834
18 27 3162
18 28 1438
18 29 1120
19 1 6576
19 2 6501
19 3 5316
19 4 4959
19 5 5074
19 6 5615
19 7 4425
19 8 3992
19 9 4029
19 10 3560
19 11 3530
19 12 2753
19 13 2458
19 14 2041
19 15 772
19 16 3324
19 17 1116
19 18 433
19 20 2174
19 21 929
19 22 698
19 23 885
19 24 4064
19 25 3468
19 26 2177
19 27 3540
19 28 1698
19 29 1252
20 1 8009
20 2 7938
20 3 5595
20 4 5695
20 5 6094
20 6 7039
20 7 4775
20 8 4906
20 9 4180
20 10 5217
20 11 5221
20 12 4031
20 13 3007
20 14 1725
20 15 2880
20 16 1275
20 17 1173
20 18 1776
20 19 2174
20 21 1400
20 22 1770
20 23 1577
20 24 1900
20 25 1331
20 26 510
20 27 1405
20 28 1002
20 29 1498
21 1 7398
21 2 7324
21 3 5726
21 4 5536
21 5 5754
21 6 6429
21 7 4843
21 8 4615
21 9 4356
21 10 4421
21 11 4401
21 12 3474
21 13 2866
21 14 1998
21 15 1701
21 16 2651
21 17 796
21 18 705
21 19 929
21 20 1400
21 22 371
21 23 198
21 24 3222
21 25 2610
21 26 1285
21 27 2679
21 28 769
21 29 440
22 1 7266
22 2 7192
22 3 5810
22 4 5545
22 5 5711
22 6 6302
22 7 4921
22 8 4599
22 9 4468
22 10 4256
22 11 4227
22 12 3402
22 13 2934
22 14 2212
22 15 1450
22 16 3018
22 17 1040
22 18 663
22 19 698
22 20 1770
22 21 371
22 23 220
22 24 3583
22 25 2969
22 26 1638
22 27 3037
22 28 1070
22 29 560
23 1 7425
23 2 7351
23 3 5857
23 4 5634
23 5 5827
23 6 6458
23 7 4971
23 8 4700
23 9 4497
23 10 4428
23 11 4402
23 12 3530
23 13 2987
23 14 2172
23 15 1650
23 16 2837
23 17 974
23 18 756
23 19 885
23 20 1577
23 21 198
23 22 220
23 24 3370
23 25 2754
23 26 1422
23 27 2822
23 28 851
23 29 374
24 1 9639
24 2 9570
24 3 6675
24 4 7044
24 5 7572
24 6 8685
24 7 5977
24 8 6400
24 9 5330
24 10 7000
24 11 7016
24 12 5733
24 13 4547
24 14 3238
24 15 4780
24 16 1244
24 17 3063
24 18 3674
24 19 4064
24 20 1900
24 21 3222
24 22 3583
24 23 3370
24 25 620
24 26 1951
24 27 559
24 28 2580
24 29 3173
25 1 9229
25 2 9159
25 3 6465
25 4 6740
25 5 7220
25 6 8267
25 7 5719
25 8 6037
25 9 5083
25 10 6513
25 11 6523
25 12 5282
25 13 4153
25 14 2831
25 15 4197
25 16 1088
25 17 2504
25 18 3089
25 19 3468
25 20 1331
25 21 2610
25 22 2969
25 23 2754
25 24 620
25 26 1333
25 27 75
25 28 1960
25 29 2553
26 1 8320
26 2 8248
26 3 6060
26 4 6110
26 5 6471
26 6 7347
26 7 5227
26 8 5287
26 9 4645
26 10 5455
26 11 5450
26 12 4334
26 13 3399
26 14 2164
26 15 2931
26 16 1642
26 17 1367
26 18 1834
26 19 2177
26 20 510
26 21 1285
26 22 1638
26 23 1422
26 24 1951
26 25 1333
26 27 1400
26 28 648
26 29 1230
27 1 9301
27 2 9230
27 3 6522
27 4 6804
27 5 7288
27 6 8338
27 7 5780
27 8 6105
27 9 5143
27 10 6587
27 11 6597
27 12 5354
27 13 4222
27 14 2901
27 15 4270
27 16 1129
27 17 2578
27 18 3162
27 19 3540
27 20 1405
27 21 2679
27 22 3037
27 23 2822
27 24 559
27 25 75
27 26 1400
27 28 2024
27 29 2616
28 1 8102
28 2 8029
28 3 6164
28 4 6090
28 5 6373
28 6 7130
28 7 5301
28 8 5209
28 9 4761
28 10 5156
28 11 5140
28 12 4142
28 13 3375
28 14 2284
28 15 2470
28 16 2252
28 17 1207
28 18 1438
28 19 1698
28 20 1002
28 21 769
28 22 1070
28 23 851
28 24 2580
28 25 1960
28 26 648
28 27 2024
28 29 593
29 1 7799
29 2 7724
29 3 6163
29 4 5976
29 5 6186
29 6 6832
29 7 5281
29 8 5051
29 9 4787
29 10 4801
29 11 4776
29 12 3897
29 13 3306
29 14 2397
29 15 2010
29 16 2773
29 17 1201
29 18 1120
29 19 1252
29 20 1498
29 21 440
29 22 560
29 23 374
29 24 3173
29 25 2553
29 26 1230
29 27 2616
29 28 593
;
