param n := 131;
param COST := 
1 2 13
1 3 14
1 4 26
1 5 13
1 6 5
1 7 8
1 8 13
1 9 19
1 10 25
1 11 30
1 12 7
1 13 15
1 14 9
1 15 10
1 16 11
1 17 12
1 18 14
1 19 15
1 20 16
1 21 19
1 22 23
1 23 28
1 24 34
1 25 16
1 26 18
1 27 18
1 28 18
1 29 18
1 30 19
1 31 20
1 32 21
1 33 22
1 34 23
1 35 24
1 36 25
1 37 27
1 38 28
1 39 30
1 40 32
1 41 33
1 42 34
1 43 36
1 44 37
1 45 25
1 46 25
1 47 27
1 48 27
1 49 27
1 50 28
1 51 29
1 52 30
1 53 25
1 54 28
1 55 29
1 56 32
1 57 33
1 58 35
1 59 39
1 60 41
1 61 44
1 62 35
1 63 37
1 64 33
1 65 35
1 66 37
1 67 38
1 68 34
1 69 36
1 70 38
1 71 38
1 72 42
1 73 44
1 74 35
1 75 35
1 76 39
1 77 38
1 78 39
1 79 42
1 80 43
1 81 41
1 82 42
1 83 45
1 84 46
1 85 47
1 86 47
1 87 49
1 88 50
1 89 49
1 90 60
1 91 61
1 92 57
1 93 57
1 94 58
1 95 65
1 96 69
1 97 70
1 98 63
1 99 65
1 100 71
1 101 71
1 102 71
1 103 78
1 104 79
1 105 74
1 106 74
1 107 74
1 108 75
1 109 76
1 110 77
1 111 78
1 112 74
1 113 77
1 114 78
1 115 80
1 116 81
1 117 82
1 118 79
1 119 81
1 120 83
1 121 80
1 122 85
1 123 80
1 124 81
1 125 84
1 126 85
1 127 86
1 128 87
1 129 88
1 130 84
1 131 108
2 1 13
2 3 1
2 4 13
2 5 26
2 6 14
2 7 9
2 8 5
2 9 7
2 10 12
2 11 18
2 12 19
2 13 27
2 14 18
2 15 19
2 16 19
2 17 20
2 18 24
2 19 20
2 20 17
2 21 15
2 22 16
2 23 19
2 24 23
2 25 23
2 26 23
2 27 22
2 28 21
2 29 20
2 30 19
2 31 19
2 32 18
2 33 18
2 34 18
2 35 18
2 36 19
2 37 19
2 38 20
2 39 21
2 40 22
2 41 23
2 42 24
2 43 25
2 44 26
2 45 29
2 46 27
2 47 25
2 48 25
2 49 25
2 50 25
2 51 25
2 52 25
2 53 30
2 54 30
2 55 29
2 56 28
2 57 28
2 58 29
2 59 31
2 60 33
2 61 35
2 62 32
